undefined
Parametric model
ID,distance F1,distance F2,c_1 ,c_2 ,c_3 ,c_4 ,c_5 ,c_6 ,c_7 ,c_8 ,c_9 ,c_10 ,c_11 ,c_12 ,c_13 ,c_14 ,c_15 ,c_16 ,c_17 ,c_18 ,c_19 ,slope, intercept, r2, rmsre, steyx, LOD, mErr%, LOD%, exp
ID,z1,z2,4.592934000686644,9.185868001373288,13.778802002059932,18.371736002746577,22.964670003433223,27.557604004119863,32.15053800480651,36.74347200549315,41.33640600617979,45.92934000686645,50.52227400755308,55.115208008239726,59.70814200892637,64.30107600961303,91.8586800137329,137.78802002059933,206.68203003089897,298.5407100446319,344.4700500514983,slope, intercept, r2, rmsre, steyx, LOD, mErr%, LOD%, exp
0,14600,15000,198.74511119979974,296.48329229802664,527.3485261604244,543.8472244599463,633.5289684637206,819.3760925897867,810.4906939891168,929.8981291001755,1019.6326186222082,1072.2193280337194,1132.3323137818984,971.9588176722465,1342.4468926178122,1375.7080866037659,1368.1121088715563,1070.855143085568,1116.4235167681209,628.8434581095145,591.6535333908741,0.19029424797209882,850.14425381361,0.0028471034595593855,0.3917115588220102,357.1645263293198,6193.791717023257,-92.84142922697342,1798.0639292435683,13.982500000000027
1,14600,15500,116.16489037399619,237.72549109380356,452.0590264740908,477.1231021728923,631.3718722694862,625.2976729191605,741.4771745657783,864.2883550520178,977.8071969892845,1025.5038333123882,1003.1444351168739,1016.8347349212969,1163.7714503438187,1165.8203684187229,1257.8304212238313,1141.6161024497321,1081.6433333954885,754.9832293464647,629.0743807534268,0.698886051220131,751.1662273013685,0.042874896769857736,0.39496743972962356,331.17121884901223,1563.7241869311767,-75.72915494457841,453.95069519030756,5.658888888888891
2,14600,16000,83.72828089490838,199.04191955783267,307.4164423458256,363.3859367255873,453.81296104716114,499.6000914733167,569.5110011971185,652.3676820059637,702.8254886606943,770.7803728143294,787.9314150513006,808.5232177379366,878.547424790713,894.2074197548773,1025.04375922659,1043.7441196643945,975.0450559823877,759.9973945648021,677.4424600172132,1.2551520143958799,552.258427374223,0.19546246513416402,0.3848685722728954,255.388419728418,671.4579393073919,-56.0884434784612,194.92491123887518,3.2807142857142852
3,14600,17000,52.67553606441021,100.81750864610146,155.57797732285866,190.9261499684022,232.21356442679917,265.7938638843929,300.02320026785816,337.6453110409614,365.6234747919959,400.88847436716276,422.12885455365114,445.04487067240785,468.76533003554243,484.40082483851205,577.5896143720607,650.8499122608501,666.4870574711498,615.6677628053286,588.7313848992102,1.4349104583248549,267.4262106218993,0.5564181431103652,0.3516045061043798,128.4915153610488,295.50415374801395,-35.10866995791311,85.7851513372022,1.4970833333333322
4,14600,18000,24.46729291975584,44.54592077234913,64.833556283931,82.10443294156552,98.14963417778341,113.20231941323323,128.98617007425196,144.7038901617048,156.0407358484233,166.9128439688101,176.90593866723438,186.6188049511389,193.1334449602449,203.2833350238245,241.6388854755041,275.51150110292684,281.5176255605764,263.8725245869344,255.46535436092933,0.6192159852213512,112.36463365641592,0.5825797690580264,0.3413184306124101,52.56717166299858,280.1472678808257,-34.5030292860018,81.32703201307159,0.7626470588235302
5,14600,19000,13.958131152046203,23.73201222749837,34.290879125813966,43.56926207602161,50.916581660026715,59.150652167738045,67.04440900141105,75.8177300477498,81.3518311099383,85.37664017828308,89.8343171537107,94.73981719777096,96.75572028227886,102.06367066658761,118.09437911427896,130.94511711133313,125.95870432150379,111.7169040361441,106.83103179499739,0.23085109071717458,60.61322580968209,0.4257461901847923,0.3462455091384282,26.888829186482283,384.37390977763346,-43.253603050553494,111.58413038235678,0.3620454545454547
6,14600,20000,10.349664644557484,17.002226440089462,24.364099815387796,30.913993554755887,35.531897936880775,41.601100770391035,46.850092662702544,52.86726833080422,57.036107624774296,58.48077061195396,61.47683558865729,64.84917466039727,65.25750275935678,68.93070933736134,77.44660400389857,82.99585059732894,74.62283572446418,62.25653678521704,58.344611774513204,0.1038882136500898,43.62875277107892,0.24205384664205384,0.3517362541273254,18.437110771097274,585.6532074903803,-54.93758212304147,170.01571178766488,0.10981481481481477
7,14600,21000,9.569376203990466,15.36207279192342,21.82832600060446,27.70413045998003,31.4626776147873,37.10264668874651,41.55317448904418,46.67007697550433,50.67631652951094,50.97506715969267,53.53609497560451,56.44019841352045,56.20447235967362,59.472871062336885,65.3866338345144,68.21450446267433,58.24562885532812,46.24927017547858,42.655610574736095,0.059561344707378304,39.27885784465186,0.12227810170972785,0.354034390098067,16.004128180926777,886.7097151101752,-65.6881495999487,257.412717006199,-0.06359375000000016
8,15000,14600,306.27070643869297,451.50284983728403,828.9087103114182,829.8845189855922,969.5841370897642,1271.3065197738122,1234.9297903286326,1420.8570757335049,1560.6630264241717,1649.9910954071215,1743.7819011340039,1453.4473800528417,2102.37046259079,2144.8987351136157,2100.300316857996,1575.5268441779365,1685.5329130337163,901.5672916559702,849.9681387846067,0.07193412724966927,1314.1558029537298,0.00016800694576314903,0.3991492139044612,556.542429042481,25531.553465099296,-98.14933859820711,7411.83550247179,-14.982500000000027
9,15000,15500,116.49482640449261,303.3866366452518,628.1770116922744,655.6831383757141,963.6498437039211,781.513740161502,1052.1358624297752,1245.5246073475462,1447.3256474232485,1522.853697306565,1402.1464819669436,1576.4631731309976,1625.759494948368,1592.1956043906985,1805.4361380926773,1767.8550497917038,1592.1956043906985,1252.877790291049,949.1717670161355,1.4181415789827811,1056.1199834581275,0.07756497785904894,0.40738302638850443,490.4763257790119,1141.333065089118,-68.37377497439498,331.33013012843605,10.185999999999991
10,15000,16000,91.30855460859831,258.45358064569126,389.3926962318129,471.91669567767264,607.7711568331667,635.9825266308573,753.5255564545045,865.0282369078769,926.9886947994767,1039.4112720222552,1049.5726059078509,1123.2121630660586,1161.2469352796259,1173.5012694017018,1402.0077187175284,1519.9680112700125,1394.476594187052,1175.372501582825,1027.3763820812294,2.2144385391909465,716.234280643067,0.2895765531701589,0.3878229561184948,347.85959035294366,518.3872245034703,-48.42555273333827,150.4883296605819,4.5929999999999955
11,15000,17000,62.24156035954044,123.73808193079886,191.56985234169045,236.31095838653488,290.75743554723124,329.2488518610971,374.74033024203294,421.28967271519093,455.84538605841084,506.72172785422583,533.6512506927525,569.2544528820774,594.8114088403139,612.9444171540176,746.2401719623765,866.8140772374111,907.5959105125764,878.9472007618331,844.9330877255571,2.1718631598968154,324.0041907057828,0.6472521948685742,0.346384856712473,160.8019299560934,244.32771762670308,-30.220155657067703,70.92858075474953,1.796499999999998
12,15000,18000,28.51676057343867,52.68769997455531,77.0611984482868,97.37018114209334,117.14506646065752,134.8979188540253,153.81902856093126,172.53129077868937,185.95562226661542,200.4388377655752,212.69787208681242,223.9483456972169,233.55957119161675,245.61733315854536,294.3964395834028,338.2382205343189,353.7019064871972,336.94834086333304,328.12234050704996,0.8184407853359696,132.0830969135871,0.6304009640297776,0.3386838177791958,62.85034240358862,253.41617090441343,-31.90324848128826,73.56696782972212,0.8643333333333341
13,15000,19000,16.4926089777177,28.075549723153635,41.01055761804491,51.65249209947764,60.56023319490811,70.56253071816884,79.61928163383594,90.1611284117431,96.6996974439963,102.00995868792278,107.37603737802759,112.24640994993406,116.48412353651989,122.68350520348633,141.90565164570833,156.14218300771444,152.88904457988266,134.75104017823833,129.32890570363216,0.2824971654182828,72.07916081063446,0.43657845873363527,0.34673835889324195,32.18570826586015,375.97841776597363,-42.551949086832884,109.1469106558799,0.39825000000000016
14,15000,20000,12.591157874377267,20.599017800129577,29.945498522053047,37.50335444162137,43.186258874454005,50.85357990730359,56.827909809844705,64.22173157433835,69.31572880703128,71.30983178544781,74.99093661076353,78.09018102928708,80.23821332648961,84.5832108371414,94.49145695993965,99.5170543922344,90.73679427266104,74.18087486805008,69.63869141343147,0.12171648892395841,53.302595313829634,0.2268588153349799,0.3534253333699078,22.535354505106525,610.9827068156035,-55.97231796484549,177.3688907712765,0.11859999999999993
